what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340111023718
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1340111023734
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1340111023812
started,bundle,org.eclipse.emf.compare.diff,1.2.2.yatta-patch-201202240323,"org.eclipse.emf.compare.diff",1340111023984
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1340111026453
closed,editor,com.yattasolutions.umllab.intro,1.4.2.201202241146,"com.yattasolutions.umllab.intro.IntroEditor",1340111026453
started,bundle,com.yattasolutions.codegen.java,1.4.2.201202241146,"com.yattasolutions.codegen.java",1340111028734
started,bundle,com.yattasolutions.codegen.java.JDTDisassembled,1.4.2.201202241146,"com.yattasolutions.codegen.java.JDTDisassembled",1340111028734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111041781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111078843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111132828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111142828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1340111152750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111154125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111157140
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1340111160562
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1340111160562
started,bundle,org.eclipse.wb.swing.FormLayout.lib,1.1.0.r37x201109091143,"org.eclipse.wb.swing.FormLayout.lib",1340111161031
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1340111212578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111246937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111404265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111413796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111420703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111426312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111431859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1340111434437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111434500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111438984
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1340111452812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111463312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111475328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111486062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111503187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111510531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111510531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111510593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340111513093
