what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160704796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160704828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160704875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160739187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160740968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160741000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160741078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160804218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341160806375
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1341160808375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160810484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160850375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160851078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160851078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341160851156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161207062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161227750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161422484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161423062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161423062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161423125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161577937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161578859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161578859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341161578968
